OGLE-BLG-RRLYR-00060  RRab  17:09:06.03 -32:12:53.6 
OGLE-BLG-RRLYR-00061  RRab  17:09:07.42 -32:01:45.4 
OGLE-BLG-RRLYR-00062  RRab  17:09:08.49 -31:49:50.8 
OGLE-BLG-RRLYR-00063  RRab  17:09:08.77 -32:05:57.2 
OGLE-BLG-RRLYR-00064  RRab  17:09:10.61 -32:52:13.4 
OGLE-BLG-RRLYR-00065  RRc   17:09:10.66 -31:47:35.1 
OGLE-BLG-RRLYR-00066  RRab  17:09:13.06 -32:43:19.1 
OGLE-BLG-RRLYR-00067  RRab  17:09:13.42 -32:43:12.4 
OGLE-BLG-RRLYR-00068  RRab  17:09:15.01 -33:02:22.3 
OGLE-BLG-RRLYR-00069  RRab  17:09:18.36 -32:12:20.2 
OGLE-BLG-RRLYR-00070  RRab  17:09:19.23 -32:49:19.7 
OGLE-BLG-RRLYR-00071  RRc   17:09:20.38 -32:00:54.6 
OGLE-BLG-RRLYR-00072  RRab  17:09:21.30 -31:47:24.7 
OGLE-BLG-RRLYR-00073  RRab  17:09:23.04 -32:01:25.5 
OGLE-BLG-RRLYR-00074  RRab  17:09:23.75 -32:53:14.3 
OGLE-BLG-RRLYR-00075  RRc   17:09:26.21 -32:48:08.0 
OGLE-BLG-RRLYR-00076  RRc   17:09:26.64 -33:16:56.5 
OGLE-BLG-RRLYR-00077  RRc   17:09:30.11 -33:12:41.8 
OGLE-BLG-RRLYR-00078  RRab  17:09:33.96 -33:13:45.9 
OGLE-BLG-RRLYR-00079  RRc   17:09:34.66 -32:54:28.2 
OGLE-BLG-RRLYR-00080  RRab  17:09:35.31 -32:13:37.1 
OGLE-BLG-RRLYR-00081  RRab  17:09:41.39 -32:07:52.8 
OGLE-BLG-RRLYR-00082  RRc   17:09:43.32 -31:43:18.7 
OGLE-BLG-RRLYR-00083  RRab  17:09:43.45 -32:51:33.5 
OGLE-BLG-RRLYR-00084  RRab  17:09:46.22 -31:44:35.4 
OGLE-BLG-RRLYR-00085  RRc   17:09:52.87 -32:14:11.5 
OGLE-BLG-RRLYR-00086  RRab  17:09:55.66 -31:48:25.0 
OGLE-BLG-RRLYR-00087  RRab  17:09:56.33 -31:49:29.3 
OGLE-BLG-RRLYR-00088  RRab  17:09:57.84 -33:17:14.6 
OGLE-BLG-RRLYR-00089  RRab  17:10:00.04 -32:00:36.3 
OGLE-BLG-RRLYR-00090  RRab  17:10:01.05 -31:58:16.3 
OGLE-BLG-RRLYR-00091  RRc   17:10:02.85 -32:01:09.3 
OGLE-BLG-RRLYR-00092  RRc   17:10:04.06 -33:00:59.0 
OGLE-BLG-RRLYR-00093  RRab  17:10:04.30 -32:11:49.6 
OGLE-BLG-RRLYR-00094  RRab  17:10:05.11 -31:46:33.6 
OGLE-BLG-RRLYR-00095  RRab  17:10:05.81 -33:12:02.9 
OGLE-BLG-RRLYR-00096  RRab  17:10:07.02 -32:17:14.8 
OGLE-BLG-RRLYR-00097  RRc   17:10:08.66 -31:41:59.0 
OGLE-BLG-RRLYR-00098  RRab  17:10:13.25 -32:49:03.4 
