OGLE-BLG-RRLYR-38827  17.201 19.982  0.34342334 0.00000018  7000.24586  0.214  0.218 4.429  0.061 2.457  0.46667061 0.00000070  7000.20643  0.101  0.055 0.044  0.009   -  
OGLE-BLG-RRLYR-38859  17.199 19.520  0.34248151 0.00000039  7000.05609  0.085  0.055 4.610  0.016 3.257  0.46689749 0.00000020  7000.27754  0.237  0.559 3.237  0.193 0.971
OGLE-BLG-RRLYR-38998  15.186 16.200  0.35415780 0.00000001  7000.01550  0.056  0.340 5.231  0.124 0.090  0.47426707 0.00000092  7000.41365  0.244  0.167 4.371  0.024 2.308
OGLE-BLG-RRLYR-39091  17.785 18.380  0.33771598 0.00000850  7000.26413  0.105  0.463 3.612  0.472 0.107  0.46296113 0.00000319  7000.28542  0.321  0.430 3.169  0.215 1.088
OGLE-BLG-RRLYR-42916  15.733    -    0.40745893 0.00000678  7000.05746  0.128  0.168 5.421  0.109 2.344  0.54406463 0.00000396  7000.52135  0.255  0.193 3.588  0.089 0.341
OGLE-BLG-RRLYR-43997  16.657    -    0.26368676 0.00000146  7000.24793  0.217  0.122   -    0.169 5.684  0.36517461 0.00000323  7000.29645  0.140  0.265 4.377  0.191 1.303
OGLE-BLG-RRLYR-44866  16.744    -    0.29843691 0.00000229  7000.06499  0.141  0.000   -    0.199 2.518  0.40988590 0.00000191  7000.27544  0.359  0.324 4.769  0.000   -  
OGLE-BLG-RRLYR-45290  16.507    -    0.37426846 0.00000328  7000.17712  0.174  0.336 5.027  0.192 3.642  0.50322299 0.00000402  7000.07380  0.244  0.414 3.405  0.137 0.843
OGLE-BLG-RRLYR-45336  17.762    -    0.35205358 0.00000571  7000.29326  0.141  0.328 0.214  0.000   -    0.48125612 0.00000387  7000.35760  0.392  0.431 2.642  0.212 0.740
OGLE-BLG-RRLYR-46083  16.591    -    0.35299147 0.00000904  7000.11430  0.141  0.000   -    0.000   -    0.47332489 0.00000567  7000.02227  0.400  0.387 3.700  0.102 1.443
OGLE-BLG-RRLYR-47792  16.042    -    0.26478469 0.00000331  7000.09225  0.065  0.000   -    0.000   -    0.35294885 0.00000343  7000.14672  0.135  0.147 3.580  0.000   -  
OGLE-BLG-RRLYR-50651  15.408    -    0.39001893 0.00000613  7000.06034  0.085  0.000   -    0.152 4.759  0.52395705 0.00000215  7000.07548  0.326  0.316 3.526  0.158 1.486
OGLE-BLG-RRLYR-50690  16.667    -    0.36240017 0.00000722  7000.15995  0.183  0.000   -    0.208 3.611  0.49471623 0.00001054  7000.25789  0.239  0.098   -    0.000   -  
OGLE-BLG-RRLYR-52830  16.299    -    0.32405224 0.00000473  7000.25593  0.251  0.060 5.976  0.000   -    0.43484416 0.00001463  7000.42814  0.144  0.286 3.253  0.328 3.003
OGLE-BLG-RRLYR-54358  16.563    -    0.35953053 0.00001297  7000.33871  0.172  0.247 4.279  0.000   -    0.49420829 0.00001048  7000.21956  0.349  0.316 4.492  0.091 2.063
OGLE-BLG-RRLYR-57262  16.156    -    0.44651130 0.00000392  7000.32756  0.195  0.265 3.758  0.000   -    0.59643916 0.00000461  7000.51411  0.200  0.260 2.882  0.000   -  
OGLE-BLG-RRLYR-59284  15.320    -    0.33279097 0.00000762  7000.17683  0.173  0.111 5.404  0.099 2.088  0.45424659 0.00000731  7000.16972  0.246  0.158 4.508  0.047 2.544
OGLE-BLG-RRLYR-60063  15.848    -    0.21736528 0.00000068  7000.02775  0.148  0.172 5.397  0.000   -    0.30633330 0.00000051  7000.14539  0.349  0.314 4.494  0.111 2.608
OGLE-BLG-RRLYR-61334  16.061    -    0.27084446 0.00000148  7000.22677  0.248  0.109 3.316  0.108 2.537  0.36615368 0.00000506  7000.27760  0.143  0.214 4.526  0.239 2.104
OGLE-BLG-RRLYR-66451  16.203    -    0.34509379 0.00000624  7000.18893  0.217  0.163 5.838  0.123 4.028  0.46338064 0.00000773  7000.23433  0.250  0.297 3.224  0.119 5.796
