OGLE-BLG-RRLYR-00002  15.836    -    0.30155349 0.00000162  7000.28852  0.274  0.139 5.209  0.061 5.515
OGLE-BLG-RRLYR-00007  15.290    -    0.26128887 0.00000029  7000.17646  0.177  0.132 4.889  0.000   -  
OGLE-BLG-RRLYR-00011  15.885    -    0.30638230 0.00000274  7000.20500  0.225  0.123 2.704  0.136 2.952
OGLE-BLG-RRLYR-00012  15.347    -    0.25419166 0.00000039  7000.22985  0.185  0.098 5.270  0.000   -  
OGLE-BLG-RRLYR-00013  15.248    -    0.25547679 0.00000034  7000.02567  0.194  0.109 4.882  0.000   -  
OGLE-BLG-RRLYR-00015  15.522    -    0.31760881 0.00000045  7000.16447  0.234  0.095 4.917  0.033 4.269
OGLE-BLG-RRLYR-00017  15.605    -    0.29561274 0.00000039  7000.04029  0.317  0.202 4.712  0.106 3.098
OGLE-BLG-RRLYR-00018  15.708    -    0.27593287 0.00000037  7000.25221  0.298  0.187 4.848  0.106 2.946
OGLE-BLG-RRLYR-00022  16.004    -    0.23841254 0.00000133  7000.22368  0.272  0.146 4.491  0.066 3.606
OGLE-BLG-RRLYR-00023  15.732    -    0.35896857 0.00000085  7000.07668  0.241  0.093 5.067  0.055 4.797
OGLE-BLG-RRLYR-00024  15.611    -    0.33316119 0.00000137  7000.17515  0.286  0.091 5.566  0.113 4.721
OGLE-BLG-RRLYR-00026  16.207    -    0.32195634 0.00000075  7000.26120  0.250  0.100 5.038  0.073 3.993
OGLE-BLG-RRLYR-00028  16.462    -    0.28255715 0.00000054  7000.17766  0.287  0.182 4.837  0.133 3.318
OGLE-BLG-RRLYR-00032  15.591    -    0.32552498 0.00000090  7000.19420  0.248  0.053 5.041  0.058 3.916
OGLE-BLG-RRLYR-00033  14.724    -    0.32043470 0.00000040  7000.16588  0.244  0.117 5.027  0.071 4.186
OGLE-BLG-RRLYR-00035  15.702    -    0.38512832 0.00000173  7000.04716  0.260  0.042   -    0.052 5.053
OGLE-BLG-RRLYR-00036  15.809    -    0.34038055 0.00000077  7000.24665  0.258  0.200 5.101  0.068 3.113
OGLE-BLG-RRLYR-00037  16.242    -    0.31932935 0.00000080  7000.27730  0.249  0.109 4.793  0.000   -  
OGLE-BLG-RRLYR-00038  16.302    -    0.25120372 0.00000050  7000.24846  0.249  0.129 4.361  0.087 3.934
OGLE-BLG-RRLYR-00040  14.847    -    0.32174765 0.00000048  7000.25596  0.245  0.115 5.079  0.079 3.859
OGLE-BLG-RRLYR-00044  15.952    -    0.27617179 0.00000049  7000.03884  0.305  0.183 4.632  0.105 2.877
OGLE-BLG-RRLYR-00048  15.404    -    0.34646492 0.00000094  7000.29064  0.275  0.127 5.199  0.069 4.240
OGLE-BLG-RRLYR-00051  15.682    -    0.34680172 0.00000161  7000.17766  0.260  0.115 5.159  0.073 2.705
OGLE-BLG-RRLYR-00053  16.404    -    0.33333494 0.00000120  7000.07170  0.263  0.127 5.135  0.068 4.277
OGLE-BLG-RRLYR-00057  16.064    -    0.32957872 0.00000085  7000.16522  0.271  0.128 4.894  0.072 4.453
OGLE-BLG-RRLYR-00065  15.874    -    0.37457274 0.00000221  7000.02549  0.235  0.000   -    0.061 4.340
OGLE-BLG-RRLYR-00071  16.115    -    0.32110162 0.00000071  7000.03177  0.252  0.077 5.060  0.075 4.195
OGLE-BLG-RRLYR-00075  16.988    -    0.31020445 0.00000881  7000.06710  0.269  0.120 4.752  0.162 2.955
OGLE-BLG-RRLYR-00076  16.284    -    0.26186906 0.00000045  7000.14061  0.277  0.198 4.860  0.000   -  
OGLE-BLG-RRLYR-00077  16.378    -    0.32916625 0.00000077  7000.25339  0.256  0.092 4.645  0.080 4.081
OGLE-BLG-RRLYR-00079  17.419    -    0.33353293 0.00000188  7000.28281  0.263  0.116   -    0.121   -  
OGLE-BLG-RRLYR-00082  16.077    -    0.29869608 0.00000126  7000.10000  0.261  0.149 4.802  0.103 3.625
OGLE-BLG-RRLYR-00085  15.787    -    0.29831293 0.00000093  7000.11801  0.249  0.136 4.964  0.049 3.055
OGLE-BLG-RRLYR-00091  15.638    -    0.32677778 0.00000153  7000.13813  0.342  0.251 4.350  0.069 2.105
