OGLE-GD-RRLYR-00001  17.642 19.270  0.55556356 0.00000470  7000.12295  0.626  0.526 4.300  0.315 2.564
OGLE-GD-RRLYR-00002  15.634 16.934  0.63868891 0.00000778  7000.56976  0.177  0.270 4.645  0.139 3.275
OGLE-GD-RRLYR-00003  16.811 18.133  0.53396993 0.00000104  7000.45402  0.743  0.457 4.203  0.388 2.359
OGLE-GD-RRLYR-00004  17.034 18.429  0.48118937 0.00000135  7000.14646  0.490  0.494 4.507  0.300 3.026
OGLE-GD-RRLYR-00005  16.119    -    0.48526851 0.00000051  7000.14825  0.476  0.493 4.632  0.307 3.210
OGLE-GD-RRLYR-00008  19.722    -    0.52026573 0.00000400  7000.39985  0.620  0.495   -    0.722   -  
OGLE-GD-RRLYR-00009  18.517    -    0.51454116 0.00000316  7000.47960  0.520  0.437 4.326  0.301 2.847
OGLE-GD-RRLYR-00010  16.514    -    0.56719070 0.00000661  7000.04115  0.051  0.634 4.551  0.403   -  
OGLE-GD-RRLYR-00011  19.676 22.044  0.64315542 0.00000435  7000.33403  0.221  0.286 4.553  0.164 3.302
OGLE-GD-RRLYR-00012  17.460    -    0.54932670 0.00000069  7000.37466  0.765  0.487 4.220  0.331 2.356
OGLE-GD-RRLYR-00013  19.979 21.611  0.60586036 0.00000211  7000.04185  0.611  0.515 4.323  0.376 2.695
OGLE-GD-RRLYR-00014  17.780    -    0.58447654 0.00000410  7000.44079  0.367  0.439 4.527  0.000   -  
OGLE-GD-RRLYR-00015  17.678    -    0.53063336 0.00000079  7000.23101  0.646  0.518 4.379  0.402 2.741
OGLE-GD-RRLYR-00016  19.476 20.913  0.54558644 0.00000527  7000.14928  0.843  0.514 4.198  0.343 2.395
OGLE-GD-RRLYR-00017  17.211    -    0.34664819 0.00000058  7000.26067  0.669  0.484 4.262  0.267 2.167
OGLE-GD-RRLYR-00019  19.236 20.828  0.55054497 0.00000547  7000.31782  0.739  0.477 4.312  0.276 2.419
OGLE-GD-RRLYR-00021  16.432    -    0.52669914 0.00000017  7000.06465  0.580  0.504 4.643  0.309 3.208
OGLE-GD-RRLYR-00022  18.586    -    0.48028804 0.00000282  7000.06137  0.508  0.426 4.694  0.237 2.669
OGLE-GD-RRLYR-00023  15.756    -    0.62741664 0.00000078  7000.47640  0.456  0.477 4.257  0.310 2.513
OGLE-GD-RRLYR-00024  18.941    -    0.65375488 0.00000150  7000.24439  0.536  0.460 4.555  0.236 2.975
OGLE-GD-RRLYR-00026  20.004 22.348  0.53049791 0.00000317  7000.25894  0.621  0.494 4.333  0.320 2.388
OGLE-GD-RRLYR-00027  19.103    -    0.67719401 0.00000680  7000.57139  0.635  0.545 4.968  0.000   -  
OGLE-GD-RRLYR-00029  19.561 21.979  0.51737454 0.00007630  7000.34792  0.382  0.456 4.320  0.239 2.190
OGLE-GD-RRLYR-00030  17.939    -    0.50819538 0.00000216  7000.26141  0.614  0.405 4.122  0.283 1.904
OGLE-GD-RRLYR-00031  19.510    -    0.49373555 0.00000486  7000.06075  0.534  0.517   -    0.000   -  
OGLE-GD-RRLYR-00032  19.407    -    0.39235503 0.00000288  7000.16182  0.704  0.883 3.843  0.000   -  
