OGLE-GD-RRLYR-00006  17.491 18.634  0.23215600 0.00000123  7000.22418  0.221  0.133 4.937  0.000   -  
OGLE-GD-RRLYR-00007  16.428    -    0.25597059 0.00000061  7000.06803  0.197  0.000   -    0.000   -  
OGLE-GD-RRLYR-00018  14.292    -    0.27944149 0.00000010  7000.13072  0.298  0.159 4.723  0.101 3.290
OGLE-GD-RRLYR-00020  14.546    -    0.35103848 0.00000130  7000.01769  0.243  0.114 5.508  0.040 5.681
OGLE-GD-RRLYR-00025  16.138    -    0.21039191 0.00000018  7000.11321  0.211  0.141 4.857  0.000   -  
OGLE-GD-RRLYR-00028  17.869    -    0.33433510 0.00000107  7000.01704  0.358  0.181 4.866  0.000   -  
OGLE-GD-RRLYR-00036  17.457    -    0.25634388 0.00000082  7000.15245  0.216  0.000   -    0.000   -  
OGLE-GD-RRLYR-00037  16.231    -    0.22896306 0.00000029  7000.10578  0.313  0.167 4.784  0.000   -  
OGLE-GD-RRLYR-00042  17.455    -    0.31124040 0.00000086  7000.19191  0.274  0.093   -    0.000   -  
OGLE-GD-RRLYR-00048  14.670 15.329  0.29459039 0.00000741  7000.25437  0.262  0.070 5.144  0.058 4.830
OGLE-GD-RRLYR-00049  16.966 17.836  0.35991532 0.00002133  7000.09752  0.257  0.109 4.987  0.092   -  
OGLE-GD-RRLYR-00062  15.790 17.215  0.38536705 0.00000771  7000.20665  0.300  0.110 4.887  0.121 4.496
OGLE-GD-RRLYR-00081  15.422 16.355  0.32976875 0.00000515  7000.25833  0.249  0.094 5.000  0.064 4.490
OGLE-GD-RRLYR-00085  17.730    -    0.35701316 0.00000300  7000.26383  0.271  0.153 4.893  0.000   -  
OGLE-GD-RRLYR-00090  12.383 13.144  0.33800161 0.00000354  7000.02268  0.248  0.093 4.693  0.054 3.889
OGLE-GD-RRLYR-00098  17.718    -    0.31952227 0.00000164  7000.07049  0.284  0.164 4.967  0.150 3.129
