OGLE-GD-RRLYR-00001  RRab  10:35:56.15 -62:38:40.7  
OGLE-GD-RRLYR-00002  RRab  10:36:12.01 -62:34:50.0  
OGLE-GD-RRLYR-00003  RRab  10:36:26.74 -62:31:08.4  
OGLE-GD-RRLYR-00004  RRab  10:38:02.16 -62:30:59.3  
OGLE-GD-RRLYR-00005  RRab  10:40:12.79 -61:58:24.8  
OGLE-GD-RRLYR-00006  RRc   10:40:43.39 -62:54:47.6  
OGLE-GD-RRLYR-00007  RRc   10:45:03.42 -61:19:24.8  
OGLE-GD-RRLYR-00008  RRab  10:46:13.56 -61:48:11.5  
OGLE-GD-RRLYR-00009  RRab  10:48:13.20 -61:09:32.9  
OGLE-GD-RRLYR-00010  RRab  10:48:44.17 -61:49:02.2  
OGLE-GD-RRLYR-00011  RRab  10:50:02.86 -61:37:08.2  
OGLE-GD-RRLYR-00012  RRab  10:50:02.99 -61:27:30.0  
OGLE-GD-RRLYR-00013  RRab  10:51:21.30 -61:37:16.7  
OGLE-GD-RRLYR-00014  RRab  10:51:36.66 -61:51:42.9  
OGLE-GD-RRLYR-00015  RRab  10:51:46.48 -61:08:02.1  
OGLE-GD-RRLYR-00016  RRab  10:51:56.19 -60:48:45.9  
OGLE-GD-RRLYR-00017  RRab  10:52:44.01 -61:31:38.6  
OGLE-GD-RRLYR-00018  RRc   10:54:20.76 -60:55:33.7  
OGLE-GD-RRLYR-00019  RRab  10:55:30.81 -60:19:25.0  
OGLE-GD-RRLYR-00020  RRc   10:57:55.65 -60:26:43.2  
OGLE-GD-RRLYR-00021  RRab  10:59:01.19 -61:12:01.0  
OGLE-GD-RRLYR-00022  RRab  10:59:03.23 -60:28:40.0  
OGLE-GD-RRLYR-00023  RRab  10:59:04.66 -61:16:42.3  
OGLE-GD-RRLYR-00024  RRab  11:01:34.57 -62:01:12.3  
OGLE-GD-RRLYR-00025  RRc   11:02:15.20 -61:56:22.2  
OGLE-GD-RRLYR-00026  RRab  11:02:48.69 -61:41:14.5  
OGLE-GD-RRLYR-00027  RRab  11:04:35.45 -61:13:42.1  
OGLE-GD-RRLYR-00028  RRc   11:05:26.21 -61:07:48.7  
OGLE-GD-RRLYR-00029  RRab  11:30:29.14 -60:59:48.3  
OGLE-GD-RRLYR-00030  RRab  11:33:27.65 -60:46:48.1  
OGLE-GD-RRLYR-00031  RRab  11:53:25.99 -62:08:08.0  
OGLE-GD-RRLYR-00032  RRab  11:55:11.80 -62:13:09.5  
OGLE-GD-RRLYR-00033  RRab  11:56:15.85 -61:56:53.4  
OGLE-GD-RRLYR-00034  RRab  13:16:05.40 -64:41:59.2  
OGLE-GD-RRLYR-00035  RRab  13:23:16.59 -64:48:16.5  
OGLE-GD-RRLYR-00036  RRc   13:23:39.12 -64:47:11.1  
OGLE-GD-RRLYR-00037  RRc   13:24:15.74 -64:58:25.5  
OGLE-GD-RRLYR-00038  RRab  13:24:42.48 -65:15:41.8  
OGLE-GD-RRLYR-00039  RRab  13:25:31.42 -65:08:28.4  
OGLE-GD-RRLYR-00040  RRab  13:25:46.37 -65:15:22.5  
OGLE-GD-RRLYR-00041  RRab  13:26:25.07 -65:14:27.1  
OGLE-GD-RRLYR-00042  RRc   13:33:30.81 -64:13:23.7  
OGLE-GD-RRLYR-00043  RRab  13:33:33.35 -64:00:13.3  
OGLE-GD-RRLYR-00044  RRab  13:33:47.57 -64:31:11.7  
OGLE-GD-RRLYR-00045  RRab  13:34:14.35 -64:15:01.3  
OGLE-GD-RRLYR-00046  RRab  05:41:25.27 +18:09:53.4  
OGLE-GD-RRLYR-00047  RRab  05:48:05.34 +18:41:01.0  
OGLE-GD-RRLYR-00048  RRc   05:48:27.72 +16:13:41.8  
