# ID       RA         DEC         Period   <mag>  ampl  C Type 
89       17:01:09.16 -30:07:49.8    0.5581 --     --    V RR0 
90       17:01:09.77 -30:08:18.0    0.3273 16.534 0.462 V RR1 
91       17:01:10.46 -30:07:56.0    0.3167 16.337 0.421 V RR1 
92       17:01:10.64 -30:08:09.0    0.5256 --     --    V RR0 
93       17:01:11.63 -30:05:50.5    0.552  16.340 0.966 V RR0 
94       17:01:13.64 -30:05:26.3    0.3181 --     --    V RR1 
95       17:01:14.79 -30:08:32.6    0.4941 16.609 1.226 V RR0 
96       17:01:15.71 -30:08:26.0    0.4663 16.615 1.257 V RR0 
97       17:01:17.53 -30:05:46.4    0.5510 16.262 0.883 V RR0 
98       17:01:17.10 -30:08:49.7    0.5620 16.670 0.878 V RR0 
99       17:01:17.71 -30:08:39.9    0.6028 16.644 0.410 V RR0 
100      17:01:19.84 -30:06:03.5    0.2665 16.370 0.490 V RR1 
101      17:01:19.44 -30:08:48.3    0.3055 16.516 0.397 V RR1 
102      17:01:20.17 -30:05:41.6    0.6307 16.174 0.541 V RR0 
103      17:01:19.65 -30:09:00.3    0.4836 16.655 0.611 V RR0 
104      17:01:20.54 -30:06:42.7    0.6307 16.380 0.221 V RR1?
105      17:01:20.91 -30:06:05.0    0.5205 16.351 1.162 V RR0 
106      17:01:22.16 -30:06:08.6    0.5037 16.359 1.153 V RR0 
107      17:01:22.24 -30:07:15.6    0.5728 16.541 0.680 V RR0 
108      17:01:22.35 -30:06:43.6    0.2988 16.468 0.442 V RR1 
109      17:01:23.52 -30:07:27.3    0.6078 16.525 0.700 V RR0 
110      17:01:24.78 -30:06:59.4    0.3354 16.483 0.417 V RR1 
111      17:01:03.47 -30:11:19.5    0.2494 16.317 0.311 V RR1 
112      17:00:46.07 -30:11:13.2    0.503  --     --    V RR0 
113      17:01:17.54 -30:11:11.4    0.478  16.404 1.221 V RR0 
115      17:01:23.97 -30:10:34.2    0.2690 16.529 0.519 V RR1 
116      17:01:25.64 -30:10:30.5    0.615  16.384 0.390 V RR0 
117      17:00:59.40 -30:10:12.7    0.321  --     --    V RR1 
118      17:01:24.91 -30:09:57.8    0.2987 16.468 0.455 V RR1 
119      17:01:14.91 -30:09:47.2    0.3191 16.678 0.397 V RR1 
120      17:01:39.20 -30:09:38.1    0.489  --     1.271 V RR0 
121      17:01:11.80 -30:09:35.7    0.2805 17.251 0.378 V RR1 
122      17:00:53.40 -30:08:23.2    0.373  --     --    V RR1 
123      17:00:53.45 -30:08:20.0    0.3043 16.262 0.439 V RR1 
124      17:01:09.04 -30:07:40.6    0.4855 --     1.115 V RR0 
