# RA            DEC           ID_C   ID_OGLE                I        V        P_1         dP_1     A_1     Period   <mag>    ampl    C   Type   ID_OTHER        RA_ICRS           e_RA      DE_ICRS           e_DE      Source                Plx          e_Plx     pmRA        e_pmRA   pmDE        e_pmDE   Gmag      e_Gmag   BPmag     e_BP     RPmag     e_RP     BP-RP     Dup   NgAL   chi2AL      E(BR/RP)   Membership      
  17:01:02.85   -30:06:01.3   42     OGLE-BLG-RRLYR-41754   15.178   -99.99   0.2470214   6.0E-7   0.225   0.2469   16.085   0.351   V   RRc    NGC6266-V42     255.26187566291   0.0848    -30.10040236803   0.0492    6029368548621571328   -0.0684      0.0933    -3.979      0.137    -3.508      0.084    15.8847   0.0052   16.1899   0.0183   15.1847   0.0112   1.0051    0     296    455.21      1.365      0.752833713     
  17:01:03.37   -30:11:17.5   111    OGLE-BLG-RRLYR-41758   14.855   -99.99   0.4723981   2.6E-6   0.418   0.2494   16.317   0.311   V   RRab   NGC6266-V64     255.26402875605   0.181     -30.18820116481   0.1215    6029364494172445824   0.5415       0.1887    -4.956      0.348    -2.938      0.215    15.8409   0.0082   16.4139   0.0376   14.9698   0.0268   1.4442    0     330    5088.52     1.383      0.97850972      
  17:01:03.43   -30:06:05.9   40     OGLE-BLG-RRLYR-41759   15.11    -99.99   0.3012364   5.0E-7   0.282   0.3012   16.124   0.531   V   RRc    NGC6266-V40     255.26429749973   0.0743    -30.10166187775   0.0422    6029368346769731712   0.0294       0.0786    -4.819      0.121    -3.439      0.073    15.8656   0.0075   16.2302   0.0257   15.1202   0.0159   1.11      0     311    238.78      1.37       0.966982328     
  17:01:03.53   -30:05:52.5   39     OGLE-BLG-RRLYR-41760   14.868   -99.99   0.6400459   1.5E-6   0.309   0.6401   16.065   0.479   V   RRab   NGC6266-V39     255.26468657897   0.0704    -30.09794451942   0.0394    6029368548621829632   -0.0747      0.0757    -4.834      0.11     -2.772      0.068    15.7197   0.0063   16.2127   0.023    14.9455   0.0152   1.2672    0     328    389.45      1.335      0.980426517     
  17:01:03.69   -30:05:24.0   221    OGLE-BLG-RRLYR-41761   15.063   -99.99   0.3299325   5.0E-7   0.268   0.33     16.085   0.425   V   RRc    NGC6266-NV221   255.26538118657   0.0756    -30.09002778986   0.0436    6029368587287993344   0.0516       0.0876    -4.751      0.124    -2.821      0.075    15.8222   0.0066   16.1864   0.0227   15.0801   0.0147   1.1063    0     338    493.13      1.368      0.979856351     
  17:01:03.72   -30:06:10.6   41     OGLE-BLG-RRLYR-41762   14.933   -99.99   0.5590367   6.0E-7   0.473   0.559    16.112   0.801   V   RRab   NGC6266-V41     255.26549782268   0.0785    -30.1029864205    0.0476    6029368346769708672   -0.0526      0.0897    -4.001      0.128    -2.518      0.082    15.82     0.0102   16.1709   0.0377   14.8328   0.0248   1.3381    0     311    441.05      1.588      0.816022928     
  17:01:03.83   -30:07:05.1   153    OGLE-BLG-RRLYR-41763   15.096   -99.99   0.312904    5.0E-7   0.255   0.3129   16.109   0.462   V   RRc    NGC6266-NV153   255.26596607125   0.0813    -30.11809809366   0.0473    6029367964506023168   0.0517       0.0907    -4.497      0.13     -2.049      0.079    15.8577   0.007    16.2107   0.0242   15.0891   0.0149   1.1216    0     277    365.8       1.394      0.736905701     
  17:01:04.17   -30:06:27.6   35     OGLE-BLG-RRLYR-41766   15.004   -99.99   0.529281    3.0E-7   0.6     0.5292   16.153   0.975   V   RRab   NGC6266-V35     255.26734693971   0.1157    -30.10770337293   0.0675    6029368342463146240   0.4611       0.1263    -6.197      0.184    -2.59       0.115    15.8453   0.0115   16.2219   0.0412   14.9958   0.0227   1.2261    0     334    966.25      1.45       0.754205012     
  17:01:04.34   -30:05:13.2   81     OGLE-BLG-RRLYR-41767   14.951   -99.99   0.5309635   4.0E-7   0.644   0.5309   16.078   1.042   V   RRab   NGC6266-V81     255.26806805597   0.0914    -30.08702748594   0.0519    6029368582981570176   0.6136       0.0977    -4.931      0.141    -2.154      0.088    15.7686   0.0138   16.1574   0.052    14.988    0.0323   1.1695    0     322    630.05      1.387      0.884464401     
  17:01:04.40   -30:08:32.5   53     OGLE-BLG-RRLYR-41768   15.382   -99.99   0.2730964   4.0E-7   0.299   0.2731   16.512   0.502   V   RRc    NGC6266-V53     255.26831942834   0.085     -30.14239159311   0.048     6029364906489311104   0.0057       0.0897    -5.019      0.139    -2.479      0.083    16.1867   0.0082   16.5804   0.0292   15.3442   0.0176   1.2362    0     307    331.84      1.436      0.965666192     
