# RAxc                 DECxc                 ID    Period   <mag>    ampl    C   Type  
  255.27620666666664   -30.13818555555555    85    0.3196   16.365   0.432   V   RR1   
  255.2822066666666    -30.094213333333318   86    0.2913   16.112   0.433   V   RR1   
  255.28474833333328   -30.086879999999983   87    0.6424   16.049   0.296   V   RR0   
  255.2855816666666    -30.089879999999994   88    0.5807   16.129   0.737   V   RR0   
  255.28795666666662   -30.129379999999994   89    0.5581   --       --      V   RR0   
  255.29049833333326   -30.13721333333332    90    0.3273   16.534   0.462   V   RR1   
  255.29337333333325   -30.13110222222221    91    0.3167   16.337   0.421   V   RR1   
  255.2941233333333    -30.134713333333323   92    0.5256   --       --      V   RR0   
  255.29824833333325   -30.096241111111095   93    0.552    16.340   0.966   V   RR0   
  255.30662333333333   -30.089518888888886   94    0.3181   --       --      V   RR1   
  255.31141499999998   -30.141268888888884   95    0.4941   16.609   1.226   V   RR0   
  255.31524833333327   -30.13943555555555    96    0.4663   16.615   1.257   V   RR0   
  255.3228316666667    -30.095102222222216   97    0.551    16.262   0.883   V   RR0   
  255.32103999999998   -30.146018888888886   98    0.562    16.670   0.878   V   RR0   
  255.32358166666666   -30.143296666666668   99    0.6028   16.644   0.410   V   RR0   
  255.3324566666666    -30.09985222222222    100   0.2665   16.370   0.490   V   RR1   
  255.33078999999992   -30.14562999999999    101   0.3055   16.516   0.397   V   RR1   
  255.3338316666666    -30.093768888888878   102   0.6307   16.174   0.541   V   RR0   
  255.33166499999993   -30.14896333333333    103   0.4836   16.655   0.611   V   RR0   
  255.33537333333328   -30.1107411111111     104   0.6307   16.380   0.221   V   RR1?  
  255.33691499999995   -30.10026888888888    105   0.5205   16.351   1.162   V   RR0   
  255.34212333333323   -30.101268888888885   106   0.5037   16.359   1.153   V   RR0   
  255.3424566666666    -30.11987999999998    107   0.5728   16.541   0.680   V   RR0   
  255.34291499999998   -30.11099111111111    108   0.2988   16.468   0.442   V   RR1   
  255.3477899999999    -30.123129999999986   109   0.6078   16.525   0.700   V   RR0   
  255.3530399999999    -30.115379999999995   110   0.3354   16.483   0.417   V   RR1   
  255.26424833333326   -30.18762999999999    111   0.2494   16.317   0.311   V   RR1   
  255.1917483333333    -30.185879999999994   112   0.503    --       --      V   RR0   
  255.32287333333332   -30.185379999999988   113   0.478    16.404   1.221   V   RR0   
  255.34966499999993   -30.17504666666665    115   0.269    16.529   0.519   V   RR1   
  255.35662333333323   -30.174018888888885   116   0.615    16.384   0.390   V   RR0   
  255.2472899999999    -30.169074444444444   117   0.321    --       --      V   RR1   
  255.35358166666657   -30.164935555555548   118   0.2987   16.468   0.455   V   RR1   
  255.31191499999997   -30.1619911111111     119   0.3191   16.678   0.397   V   RR1   
  255.41312333333326   -30.159463333333328   120   0.489    --       1.271   V   RR0   
  255.29895666666658   -30.15879666666667    121   0.2805   17.251   0.378   V   RR1   
  255.2222899999999    -30.138657777777766   122   0.373    --       --      V   RR1   
  255.22249833333328   -30.13776888888888    123   0.3043   16.262   0.439   V   RR1   
  255.28745666666663   -30.12682444444444    124   0.4855   --       1.115   V   RR0   
  255.29183166666664   -30.126685555555554   125   0.2737   --       --      V   RR1   
  255.31074833333335   -30.126157777777767   126   0.5133   --       --      V   RR0   
  255.2887483333333    -30.125963333333324   127   0.5328   15.942   1.307   V   RR0   
  255.3284983333333    -30.125907777777766   128   0.2504   16.692   0.359   V   RR1   
  255.31133166666666   -30.12571333333333    129   0.3292   --       --      V   RR1   
  255.29937333333334   -30.124602222222226   130   0.2613   --       --      V   RR1   
  255.32774833333323   -30.12429666666665    131   0.3132   16.530   0.431   V   RR1   
  255.29999833333326   -30.123852222222215   132   0.2842   16.189   0.628   V   RR1   
  255.3037066666666    -30.123741111111112   133   0.3156   16.190   0.479   V   RR1   
  255.30474833333335   -30.123796666666653   134   0.336    --       --      V   RR1   
  255.212415           -30.123518888888874   135   0.593    16.263   0.698   V   RR0   
  255.31337333333326   -30.12310222222221    136   0.6258   16.227   0.878   V   RR0   
  255.30049833333328   -30.122713333333323   137   0.515    --       --      V   RR0   
  255.30299833333328   -30.122685555555538   138   0.6051   --       --      V   RR0   
  255.3040399999999    -30.122713333333323   139   0.5405   --       --      V   RR0   
  255.31349833333326   -30.122491111111106   140   0.383    16.097   0.427   V   RR1   
  255.30270666666664   -30.122268888888886   141   0.2994   --       --      V   RR1   
  255.32466499999995   -30.12160222222222    142   0.2758   --       --      V   RR1   
  255.29945666666666   -30.12082444444444    143   0.2959   --       --      V   RR1   
  255.29728999999998   -30.120713333333324   144   0.6105   --       --      V   RR0   
  255.31062333333327   -30.12010222222222    145   0.5665   --       --      V   RR0   
  255.29658166666658   -30.119935555555546   146   0.466    --       --      V   RR0   
  255.30087333333324   -30.119768888888874   147   0.3259   --       --      V   RR1   
  255.306915           -30.11957444444444    148   0.5606   --       --      V   RR0   
  255.30074833333325   -30.119018888888874   149   0.319    --       --      V   RR1   
  255.28983166666663   -30.118713333333318   150   0.548    16.159   0.686   V   RR0   
  255.29466499999998   -30.118241111111114   151   0.3153   --       --      V   RR1   
  255.32103999999995   -30.118018888888873   152   0.3032   --       --      V   RR1   
  255.2657899999999    -30.11785222222221    153   0.3129   16.109   0.462   V   RR1   
  255.29033166666662   -30.117768888888886   154   0.3151   --       --      V   RR1   
  255.30454            -30.11765777777776    155   0.271    --       --      V   RR1   
  255.30087333333324   -30.117435555555552   156   0.577    --       --      V   RR0   
  255.30778999999993   -30.117324444444435   157   0.7195   --       --      V   RR0   
  255.300415           -30.117241111111106   158   0.264    --       --      V   RR1   
  255.2891649999999    -30.11696333333333    159   0.3763   --       --      V   RR1   
  255.2920816666666    -30.11690777777777    160   0.5437   16.147   1.218   V   RR0   
  255.31020666666663   -30.116352222222215   161   0.5568   --       --      V   RR0   
  255.3042066666666    -30.116296666666667   162   0.6032   --       --      V   RR0   
  255.30653999999998   -30.116074444444443   163   0.5943   --       --      V   RR0   
  255.3022066666666    -30.115268888888878   165   0.452    --       --      V   RR0   
  255.30470666666665   -30.115129999999997   166   0.29     --       --      V   RR1   
  255.31428999999991   -30.11501888888889    167   0.63     --       --      V   RR0   
  255.2700816666666    -30.11485222222221    168   0.5754   16.143   0.417   V   RR0   
  255.29145666666662   -30.11451888888888    169   0.5144   --       --      V   RR0   
  255.31858166666663   -30.11440777777777    171   0.6482   16.246   0.254   V   RR1?  
  255.30816499999995   -30.11437999999998    172   0.3132   --       --      V   RR1   
  255.30533166666658   -30.114241111111113   173   0.347    --       --      V   RR1   
  255.30153999999993   -30.114185555555544   174   0.3175   --       --      V   RR1   
  255.32103999999995   -30.11418555555554    175   0.2816   16.372   0.516   V   RR1   
  255.30524833333322   -30.11357444444443    176   0.2628   --       --      V   RR1   
  255.29153999999994   -30.113379999999985   177   0.6851   --       --      V   RR0   
  255.30454            -30.113379999999996   178   0.407    --       --      V   RR1   
  255.3012899999999    -30.113296666666656   179   0.5483   --       --      V   RR0   
  255.29487333333327   -30.11260222222221    181   0.5895   --       --      V   RR0   
  255.30024833333331   -30.112491111111098   182   0.505    --       --      V   RR0   
  255.30566499999995   -30.112518888888882   183   0.5686   --       --      V   RR0   
  255.3019983333333    -30.11243555555555    184   0.5722   --       --      V   RR0   
  255.31370666666666   -30.112407777777776   185   0.591    --       --      V   RR0   
  255.30749833333329   -30.11229666666665    186   0.3025   --       --      V   RR1   
  255.29849833333333   -30.112157777777774   187   0.491    --       --      V   RR0   
  255.30295666666657   -30.112046666666664   188   0.436    --       --      V   RR0   
  255.31562333333324   -30.11196333333334    189   0.5617   --       --      V   RR0   
  255.3025399999999    -30.111491111111103   190   0.554    --       --      V   RR0   
  255.30533166666666   -30.11143555555554    191   0.5857   --       --      V   RR0   
  255.3528316666666    -30.111435555555545   192   0.2652   16.510   0.314   V   RR1   
  255.31428999999991   -30.111379999999997   193   0.3198   --       --      V   RR1   
  255.31695666666667   -30.11129666666665    194   0.505    --       --      V   RR0   
  255.2979566666666    -30.111296666666654   195   0.47     --       --      V   RR1   
  255.28791500000003   -30.11115777777777    196   0.3109   --       --      V   RR1   
  255.30453999999992   -30.110713333333333   197   0.3183   --       --      V   RR1   
  255.28962333333325   -30.11012999999999    198   0.5763   16.059   0.782   V   RR0   
  255.314915           -30.109629999999985   199   0.5568   --       --      V   RR0   
  255.2937483333333    -30.109157777777764   200   0.487    --       --      V   RR0   
  255.31470666666664   -30.107268888888886   201   0.2507   --       --      V   RR1   
  255.30720666666664   -30.107185555555546   202   0.2709   16.258   0.439   V   RR1   
  255.30078999999992   -30.107129999999994   203   0.491    --       --      V   RR0   
  255.28462333333334   -30.106963333333333   204   0.263    16.224   0.329   V   RR1   
  255.29578999999995   -30.10687999999999    205   0.552    --       --      V   RR0   
  255.3001233333333    -30.106241111111096   206   0.64     --       --      V   RR0   
  255.29966499999992   -30.105768888888882   207   0.265    --       --      V   RR1   
  255.29858166666668   -30.105685555555546   208   0.541    --       --      V   RR0   
  255.30737333333326   -30.105241111111095   209   0.2883   --       --      V   RR1   
  255.30966499999997   -30.10512999999999    210   0.437    16.207   0.647   V   RR0   
  255.31928999999988   -30.105102222222214   211   0.3327   --       --      V   RR1   
  255.31399833333333   -30.10451888888888    212   0.6072   --       --      V   RR0   
  255.30283166666663   -30.10332444444444    213   0.5853   --       --      V   RR0   
  255.318165           -30.1019911111111     214   0.587    16.299   0.776   V   RR0   
  255.30491499999997   -30.1017411111111     215   0.4616   --       --      V   RR0?  
  255.29812333333328   -30.10157444444444    216   0.2666   --       --      V   RR1   
  255.28324833333326   -30.101268888888875   217   0.3203   --       --      V   RR1   
  255.30687333333327   -30.10051888888888    218   0.4447   16.095   1.249   V   RR0   
  255.29037333333332   -30.10032444444444    219   0.7177   16.032   0.744   V   RR0   
  255.3029149999999    -30.09987999999998    220   0.496    --       --      V   RR0   
  255.26504            -30.089907777777768   221   0.33     16.085   0.425   V   RR1   
  255.25049833333327   -30.079852222222215   222   0.46     --       --      V   RR0   
  255.32303999999996   -30.07971333333333    223   0.5325   16.305   1.026   V   RR0   
  255.39533166666664   -30.078852222222213   224   0.3196   16.952   0.417   V   RR1   
  255.32228999999992   -30.078102222222217   225   0.2884   15.353   0.252   V   RR1   
  255.28545666666662   -30.070657777777775   226   0.6301   15.984   0.796   V   RR0   
  255.4503316666666    -30.06776888888887    227   0.456    17.774   1.290   V   RR0   
  255.33399833333326   -30.067157777777766   228   0.6417   16.253   0.322   V   RR0   
  255.337415           -30.065157777777763   229   0.2773   16.106   0.248   V   RR1   
  255.3033316666666    -30.11543555555555    241   0.525    --       --      V   RR0?  
  255.30083166666665   -30.111879999999992   243   0.4911   --       --      V   RR0   
  255.29574833333325   -30.10482444444443    246   0.5086   --       --      V   RR0   
  255.2949566666666    -30.119296666666663   247   0.4928   --       --      V   RR0   
  255.2925816666666    -30.110574444444428   249   0.2476   --       --      V   RR1   
  255.298665           -30.06285222222222    259   0.6704   --       --      V   RR0?  
  255.30491499999997   -30.101602222222215   260   0.254    --       --      V   RR1   
  255.3004566666667    -30.122157777777762   261   0.5041   --       --      V   RR0   
