# ID	Type	RA	Decl	I	V	V_I	P_1	dP_1	T0_1	A_1	R21_1	phi21_1	R31_1	phi31_1	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER
OGLE-BLG-RRLYR-41767	RRab	17:01:04.34	-30:05:13.2	14.951	-99.99	-99.99	0.5309635	0.0000004	7000.52234	0.644	0.533	4.309	0.359	2.630	-99.99	-99.99	BLG884.18.45489	NGC6266-V81	
OGLE-BLG-RRLYR-41768	RRc	17:01:04.40	-30:08:32.5	15.382	-99.99	-99.99	0.2730964	0.0000004	7000.09715	0.299	0.195	4.828	0.095	3.128	-99.99	-99.99	BLG884.18.44565	NGC6266-V53	
OGLE-BLG-RRLYR-41772	RRab	17:01:04.85	-30:06:54.1	14.933	-99.99	-99.99	0.5756229	0.0000018	7000.51196	0.417	0.491	4.515	0.269	2.962	-99.99	-99.99	BLG884.18.44984	NGC6266-NV168	
OGLE-BLG-RRLYR-41775	RRab	17:01:05.11	-30:08:02.7	14.842	-99.99	-99.99	0.7312467	0.0000024	7000.07062	0.278	0.378	4.943	0.138	3.834	-99.99	-99.99	BLG884.18.44632	NGC6266-NV84	
OGLE-BLG-RRLYR-41776	RRab	17:01:05.32	-30:06:18.8	15.034	-99.99	-99.99	0.4813636	0.0000082	7000.15148	0.560	0.305	3.771	0.249	1.194	-99.99	-99.99	BLG884.18.45279	NGC6266-V58	
OGLE-BLG-RRLYR-41779	RRab	17:01:05.59	-30:04:08.5	14.931	-99.99	-99.99	0.5327118	0.0000004	7000.30163	0.654	0.538	4.308	0.366	2.618	-99.99	-99.99	BLG884.18.45604	NGC6266-V8	
OGLE-BLG-RRLYR-41780	RRab	17:01:05.59	-30:03:17.3	14.801	-99.99	-99.99	0.5565730	0.0000004	7000.43921	0.782	0.563	4.304	0.358	2.598	-99.99	-99.99	BLG884.18.45659	NGC6266-V9	
OGLE-BLG-RRLYR-41781	RRab	17:01:05.70	-30:07:30.4	14.967	-99.99	-99.99	0.5414233	0.0000018	7000.41452	0.648	0.554	4.443	0.401	2.744	-99.99	-99.99	BLG884.18.44734	NGC6266-V4	
OGLE-BLG-RRLYR-41787	RRc	17:01:06.09	-30:03:01.7	15.158	-99.99	-99.99	0.2478926	0.0000004	7000.01589	0.190	0.120	4.764	0.000	-99.99	-99.99	-99.99	BLG884.18.45682	-99.99	
OGLE-BLG-RRLYR-41788	RRab	17:01:06.11	-30:06:57.4	15.037	-99.99	-99.99	0.4913753	0.0000002	7000.30611	0.791	0.510	4.186	0.368	2.365	-99.99	-99.99	BLG884.18.44957	NGC6266-V3	
OGLE-BLG-RRLYR-41789	RRc	17:01:06.13	-30:04:33.3	15.199	-99.99	-99.99	0.2523862	0.0000008	7000.10441	0.229	0.128	4.672	0.000	-99.99	-99.99	-99.99	BLG884.18.45576	NGC6266-V65	
OGLE-BLG-RRLYR-41790	RRab	17:01:06.28	-30:05:19.8	14.917	-99.99	-99.99	0.5961433	0.0000008	7000.58948	0.440	0.487	4.680	0.293	3.208	-99.99	-99.99	BLG884.18.45474	NGC6266-V80	
OGLE-BLG-RRLYR-41791	RRc	17:01:06.31	-30:08:18.2	15.234	-99.99	-99.99	0.3196031	0.0000006	7000.23751	0.261	0.117	5.048	0.062	4.541	-99.99	-99.99	BLG884.18.44585	NGC6266-NV85	
OGLE-BLG-RRLYR-41792	RRab	17:01:06.33	-30:14:50.8	14.707	-99.99	-99.99	0.7053819	0.0000012	7000.40927	0.385	0.436	4.915	0.232	3.692	-99.99	-99.99	BLG884.18.419	NGC6266-V71	
OGLE-BLG-RRLYR-41794	RRab	17:01:06.39	-30:09:01.7	14.850	-99.99	-99.99	0.7433996	0.0000012	7000.54795	0.480	0.459	4.850	0.248	3.531	-99.99	-99.99	BLG884.18.44526	NGC6266-V48	
